service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
NCT:PB0002362:26:1:196,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:197,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:198,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:199,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:200,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:201,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:202,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:203,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:204,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:205,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:206,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:207,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:208,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:209,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:210,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:211,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:212,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:213,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:214,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:215,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:216,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:217,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:218,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:219,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:220,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:221,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:222,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:223,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:224,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:225,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:226,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:227,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:228,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:229,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:230,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:231,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:232,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:233,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:234,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:235,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:236,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1A:237,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1A:238,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1A:239,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1A:240,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1A:241,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1A:242,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1A:243,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1A:244,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1A:245,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1A:246,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1A:247,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1A:248,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1A:249,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1A:250,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1A:251,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1A:252,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1A:253,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1E:254,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1E:255,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1E:256,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1E:257,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:258,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:259,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:260,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:261,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:262,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:263,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:264,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1B:265,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:266,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:267,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:268,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:269,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:270,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:271,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:1,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:2,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:3,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:4,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:5,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:6,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:7,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:8,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:9,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:10,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:11,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:12,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:13,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:14,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:15,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:16,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:17,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:18,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:19,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:20,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:21,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:22,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:23,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:24,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:25,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:26,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:27,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:28,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:29,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:30,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:31,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:32,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:33,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:34,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:35,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:36,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:37,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:38,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:39,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:40,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:41,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:42,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:43,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:44,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:45,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:46,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:47,0,0,0,0,0,0,1,20251124,20251213
