stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3300RU0160,,"Kirk Lane, Sycamore Close",,52.8916382,-1.1453332,,,0,,,0
3300RU0166,,"Scout Hut",,52.887918,-1.14178,,,0,,,0
3300RU0174,,"Landmere Lane",,52.903036,-1.143949,,,0,,,0
3300RU0176,,"Landmere Lane",,52.903927,-1.144036,,,0,,,0
3300RU0187,,"Walcote Drive",,52.920011,-1.144209,,,0,,,0
3300RU0188,,"Rushcliffe Arena",,52.921894,-1.143503,,,0,,,0
3300RU0189,,"Rushcliffe Arena",,52.921795,-1.14355,,,0,,,0
3300RU0209,,"Walcote Drive",,52.919767,-1.144006,,,0,,,0
3300RU0215,,"Laughton Avenue",,52.916566,-1.14514,,,0,,,0
3300RU0230,,"Loughborough Rd, ASDA",,52.922972,-1.136,,,0,,,0
3300RU0482,,"Oakham Road",,52.908571,-1.144792,,,0,,,0
3300RU0483,,"Oakham Road",,52.909213,-1.145285,,,0,,,0
3300RU0554,,"High Street",,52.891891,-1.149208,,,0,,,0
3300RU0555,,"Cumberland Close",,52.892954,-1.1482951,,,0,,,0
3300RU0556,,"Cumberland Close",,52.892924,-1.147805,,,0,,,0
3300RU0557,,"Rufford Road",,52.894408,-1.145398,,,0,,,0
3300RU0558,,"Rufford Road",,52.894478,-1.145173,,,0,,,0
3300RU0559,,"Upper Canaan",,52.896185,-1.146255,,,0,,,0
3300RU0560,,"Upper Canaan",,52.896427,-1.146131,,,0,,,0
3300RU0561,,"Lower Canaan",,52.8979261,-1.1458934,,,0,,,0
3300RU0563,,"Loughborough Road",,52.8974131,-1.142068,,,0,,,0
3300RU0573,,"Packman Drive",,52.898165,-1.145279,,,0,,,0
3300RU0583,,"Ruddington Church",,52.89242,-1.150327,,,0,,,0
3300RU0585,,"Ruddington Green",,52.89046,-1.150261,,,0,,,0
3300RU0695,,"Scout Hut",,52.887618,-1.14131,,,0,,,0
3300RU0814,,"Mere Way, The Avenue",,52.8858274,-1.1411226,,,0,,,0
3300RU0860,,"Mere Way, The Avenue",,52.88571,-1.1410507,,,0,,,0
3390A1,,"City, Angel Row A1",,52.953699,-1.152233,,,0,,,0
3390C3,,"Canal St, Broadmarsh C3",,52.948745,-1.148932,,,0,,,0
3390E1,,"City, Elite E1",,52.955021,-1.14977,,,0,,,0
3390H1,,"Fletcher Gate H1",,52.9525927,-1.1458289,,,0,,,0
3390H2,,"George Street H2",,52.9538269,-1.1449413,,,0,,,0
